fiyat;marka;seri;model;yil;yakit;vites;km;motor_gucu_hp;motor_hacmi_cc;cekis;renk;garanti;kimden
38500;Opel;Corsa;1.3 CDTI Enjoy;2011;Dizel;Manuel;105000;75;1248;Önden;Siyah;Hayýr;Sahibinden
23750;Opel;Corsa;1.4 Swing;1998;Benzin;Otomatik;138000;90;1389;Önden;Yeþil;Hayýr;Galeriden
48000;Opel;Corsa;1.2 Essentia;2015;Benzin;Manuel;15500;70;1229;Önden;Lacivert;Hayýr;Sahibinden
47250;Opel;Corsa;1.3 CDTI Essentia;2013;Dizel;Manuel;62000;75;1248;Önden;Beyaz;Hayýr;Sahibinden
33500;Opel;Corsa;1.3 CDTI Enjoy;2006;Dizel;Yarý Otomatik;187000;70;1248;Önden;Gümüþ Gri;Evet;Galeriden
53250;Opel;Corsa;1.4 Twinport Essentia;2015;Benzin;Otomatik;62000;100;1364;Önden;Kýrmýzý;Hayýr;Galeriden
48750;Opel;Corsa;1.3 CDTI Enjoy;2011;Dizel;Manuel;47750;51;1201;Önden;Kahverengi;Evet;Sahibinden
47000;Opel;Corsa;1.4 Essentia;2015;Benzin;Yarý Otomatik;22000;90;1398;Önden;Kýrmýzý;Evet;Sahibinden
40500;Opel;Corsa;1.2 Twinport Essentia;2013;Benzin & LPG;Manuel;80000;85;1229;Önden;Lacivert;Hayýr;Galeriden
31500;Opel;Corsa;1.3 CDTI Essentia;2006;Dizel;Yarý Otomatik;190000;70;1248;Önden;Gümüþ Gri;Hayýr;Galeriden
59750;Opel;Corsa;1.4 Enjoy;2016;Benzin;Yarý Otomatik;20000;90;1398;Önden;Beyaz;Evet;Galeriden
26000;Opel;Corsa;1.2 Essentia;2004;Benzin & LPG;Yarý Otomatik;170000;75;1199;Önden;Gri;Hayýr;Sahibinden
41750;Opel;Corsa;1.2 Essentia;2011;Benzin;Manuel;39000;80;1229;Önden;Mavi;Hayýr;Sahibinden
32500;Opel;Corsa;1.4 Cosmo;2004;Benzin;Manuel;92000;90;1364;Önden;Gümüþ Gri;Hayýr;Galeriden
24000;Opel;Corsa;1.4 Swing;1998;Benzin;Otomatik;154000;90;1389;Önden;Sarý;Hayýr;Galeriden
18500;Opel;Corsa;1.5 TD ECO;1999;Dizel;Manuel;198000;67;1488;Önden;Mavi;Hayýr;Sahibinden
28750;Opel;Corsa;1.3 CDTI Enjoy;2004;Dizel;Manuel;208000;70;1248;Önden;Beyaz;Hayýr;Galeriden
24250;Opel;Corsa;1.4 GLS;2000;Benzin & LPG;Manuel;149000;90;1389;Önden;Beyaz;Hayýr;Sahibinden
45500;Opel;Corsa;1.2 Twinport Active;2014;Benzin;Manuel;17500;76;1200;Önden;Lacivert;Hayýr;Sahibinden
56000;Opel;Corsa;1.4 Design;2016;Benzin;Otomatik;38000;90;1398;Önden;Beyaz;Evet;Galeriden
46000;Opel;Corsa;1.4 Enjoy;2015;Benzin;Manuel;70000;90;1398;Önden;Sarý;Hayýr;Galeriden
23500;Opel;Corsa;1.4 GLS;2000;Benzin & LPG;Manuel;217000;90;1389;Önden;Beyaz;Hayýr;Galeriden
46500;Opel;Corsa;1.3 CDTI Enjoy;2012;Dizel;Manuel;44000;75;1248;Önden;Gümüþ Gri;Hayýr;Sahibinden
27500;Opel;Corsa;1.2 Comfort;2003;Benzin & LPG;Yarý Otomatik;207000;76;1200;Önden;Kýrmýzý;Evet;Sahibinden
31000;Opel;Corsa;1.2 Twinport Essentia;2006;Benzin;Yarý Otomatik;99000;80;1229;Önden;Beyaz;Hayýr;Sahibinden
38700;Opel;Corsa;1.3 CDTI Essentia;2012;Dizel;Manuel;120000;51;1201;Önden;Beyaz;Hayýr;Galeriden
22900;Opel;Corsa;1.3 CDTI Essentia;2004;Dizel;Manuel;178000;70;1248;Önden;Lacivert;Hayýr;Sahibinden
31750;Opel;Corsa;1.3 CDTI Essentia;2008;Dizel;Manuel;205000;75;1248;Önden;Beyaz;Hayýr;Sahibinden
39750;Opel;Corsa;1.4 Twinport Enjoy 111;2011;Benzin;Otomatik;111000;76;1201;Önden;Mavi;Hayýr;Galeriden
33000;Opel;Corsa;1.3 CDTI Sport;2008;Dizel;Manuel;142000;90;1248;Önden;Siyah;Hayýr;Sahibinden
34250;Opel;Corsa;1.3 CDTI Enjoy;2011;Dizel;Manuel;166000;75;1248;Önden;Siyah;Hayýr;Galeriden
51950;Opel;Corsa;1.4 Twinport Active;2013;Benzin;Otomatik;30000;100;1364;Önden;Gri;Hayýr;Galeriden
51750;Opel;Corsa;1.4 Twinport Enjoy;2013;Benzin;Otomatik;65000;100;1364;Önden;Gümüþ Gri;Hayýr;Galeriden
36750;Opel;Corsa;1.3 CDTI Enjoy;2011;Dizel;Manuel;111000;51;1201;Önden;Füme;Hayýr;Sahibinden
26750;Opel;Corsa;1.3 CDTI Essentia;2005;Dizel;Manuel;166500;70;1248;Önden;Beyaz;Hayýr;Sahibinden
30900;Opel;Corsa;1.3 CDTI Essentia;2013;Dizel;Manuel;118000;75;1248;Önden;Beyaz;Hayýr;Sahibinden
18500;Opel;Corsa;1.4 GLS;1999;Benzin & LPG;Manuel;170000;90;1389;Önden;Siyah;Hayýr;Sahibinden
20850;Opel;Corsa;1.4 GLS;1999;Benzin;Manuel;207000;90;1389;Önden;Beyaz;Hayýr;Galeriden
31500;Opel;Corsa;1.2 Enjoy;2008;Benzin;Manuel;175000;80;1229;Önden;Siyah;Hayýr;Sahibinden
50950;Opel;Corsa;1.4 Essentia;2015;Benzin;Yarý Otomatik;42637;90;1398;Önden;Beyaz;Evet;Galeriden
24900;Opel;Corsa;1.2 Enjoy;2005;Benzin & LPG;Manuel;204000;80;1229;Önden;Gri;Hayýr;Galeriden
43000;Opel;Corsa;1.2 Twinport Active;2014;Benzin;Manuel;38000;85;1229;Önden;Beyaz;Hayýr;Sahibinden
27950;Opel;Corsa;1.2 Twinport Essentia;2012;Benzin;Yarý Otomatik;43000;85;1229;Önden;Siyah;Hayýr;Galeriden
29500;Opel;Corsa;1.3 CDTI Enjoy;2005;Dizel;Manuel;176000;70;1248;Önden;Beyaz;Hayýr;Sahibinden
44750;Opel;Corsa;1.2 Twinport Enjoy;2011;Benzin;Yarý Otomatik;116000;85;1229;Önden;Beyaz;Hayýr;Sahibinden
26500;Opel;Corsa;1.4 Comfort;2001;Benzin & LPG;Manuel;134000;90;1389;Önden;Gümüþ Gri;Hayýr;Galeriden
42000;Opel;Corsa;1.3 CDTI Active;2013;Dizel;Manuel;139665;95;1248;Önden;Beyaz;Hayýr;Galeriden
36250;Opel;Corsa;1.3 CDTI Essentia;2008;Dizel;Manuel;131000;51;1201;Önden;Gri;Hayýr;Sahibinden
29500;Opel;Corsa;1.3 CDTI Essentia;2007;Dizel;Manuel;195000;75;1248;Önden;Beyaz;Hayýr;Galeriden
30500;Opel;Corsa;1.3 CDTI Essentia;2008;Dizel;Manuel;156000;75;1248;Önden;Gri;Hayýr;Sahibinden
59999;Opel;Corsa;1.4 Color Edition;2015;Benzin;Yarý Otomatik;44000;90;1398;Önden;Kýrmýzý;Evet;Galeriden
59999;Opel;Corsa;1.4 Color Edition;2015;Benzin;Yarý Otomatik;32000;90;1398;Önden;Beyaz;Evet;Galeriden
46750;Opel;Corsa;1.2 Twinport Enjoy;2011;Benzin;Yarý Otomatik;39000;85;1229;Önden;Siyah;Hayýr;Sahibinden
26500;Opel;Corsa;1.4 GLS;2000;Benzin;Otomatik;50000;90;1389;Önden;Sarý;Hayýr;Sahibinden
26250;Opel;Corsa;1.3 CDTI Essentia;2004;Dizel;Manuel;206000;70;1248;Önden;Yeþil;Hayýr;Sahibinden
31400;Opel;Corsa;1.3 CDTI Silverline;2006;Dizel;Manuel;170000;70;1248;Önden;Gümüþ Gri;Hayýr;Galeriden
56000;Opel;Corsa;1.4 Design;2016;Benzin;Otomatik;8500;90;1398;Önden;Gri;Evet;Sahibinden
33500;Opel;Corsa;1.3 CDTI Enjoy;2005;Dizel;Yarý Otomatik;121000;70;1248;Önden;Gri;Hayýr;Galeriden
24000;Opel;Corsa;1.4 Swing;1998;Benzin;Otomatik;160000;90;1389;Önden;Bordo;Hayýr;Galeriden
34750;Opel;Corsa;1.3 CDTI Essentia;2011;Dizel;Manuel;225000;75;1248;Önden;Beyaz;Hayýr;Galeriden
43500;Opel;Corsa;1.2 Twinport Active;2014;Benzin;Manuel;15000;85;1229;Önden;Beyaz;Hayýr;Sahibinden
19500;Opel;Corsa;1.2 Swing;2000;Benzin;Manuel;179000;65;1199;Önden;Beyaz;Hayýr;Sahibinden
45000;Opel;Corsa;1.3 CDTI Essentia;2013;Dizel;Manuel;70000;75;1248;Önden;Gri;Hayýr;Sahibinden
25000;Opel;Corsa;1.3 CDTI Essentia;2005;Dizel;Manuel;274000;70;1248;Önden;Siyah;Hayýr;Sahibinden
62750;Opel;Corsa;1.4 Color Edition;2015;Benzin;Yarý Otomatik;34000;90;1398;Önden;Beyaz;Evet;Galeriden
44750;Opel;Corsa;1.3 CDTI Essentia;2013;Dizel;Manuel;36400;75;1248;Önden;Beyaz;Hayýr;Sahibinden
31500;Opel;Corsa;1.2 Twinport Enjoy;2007;Benzin;Manuel;270000;101;1201;Önden;Gümüþ Gri;Hayýr;Sahibinden
23500;Opel;Corsa;1.7 DTI Comfort;2003;Dizel;Manuel;205000;126;1601;Önden;Beyaz;Hayýr;Sahibinden
29000;Opel;Corsa;1.3 CDTI Sport;2007;Dizel;Manuel;165000;76;1201;Önden;Beyaz;Hayýr;Sahibinden
24000;Opel;Corsa;1.4 GLS;2000;Benzin & LPG;Manuel;204000;90;1389;Önden;Kýrmýzý;Hayýr;Sahibinden
27500;Opel;Corsa;1.4 Elegance;2001;Benzin & LPG;Manuel;213000;90;1389;Önden;Kýrmýzý;Hayýr;Sahibinden
31500;Opel;Corsa;1.3 CDTI Silverline;2006;Dizel;Manuel;174000;70;1248;Önden;Gri;Hayýr;Galeriden
41900;Opel;Corsa;1.2 Twinport Essentia;2014;Benzin;Manuel;43000;85;1229;Önden;Beyaz;Hayýr;Sahibinden
21000;Opel;Corsa;1.3 CDTI Cosmo;2006;Dizel;Manuel;233000;70;1248;Önden;Beyaz;Hayýr;Sahibinden
32000;Opel;Corsa;1.3 CDTI Essentia;2006;Dizel;Manuel;110000;70;1248;Önden;Beyaz;Evet;Sahibinden
22000;Opel;Corsa;1.2 Swing;1999;Benzin;Manuel;174975;65;1199;Önden;Kýrmýzý;Hayýr;Sahibinden
29000;Opel;Corsa;1.2 Essentia;2005;Benzin;Manuel;110000;80;1229;Önden;Kýrmýzý;Hayýr;Galeriden
44000;Opel;Corsa;1.3 CDTI Enjoy 111;2010;Dizel;Manuel;98520;90;1248;Önden;Gri;Hayýr;Galeriden
48850;Opel;Corsa;1.4 Design;2015;Benzin & LPG;Yarý Otomatik;70000;76;1201;Önden;Beyaz;Evet;Sahibinden
48750;Opel;Corsa;1.4 Essentia;2016;Benzin & LPG;Yarý Otomatik;15000;76;1201;Önden;Beyaz;Evet;Galeriden
15000;Opel;Corsa;1.4 Swing;1997;Benzin & LPG;Manuel;182000;60;1389;Önden;Yeþil;Hayýr;Sahibinden
28000;Opel;Corsa;1.2 Enjoy;2007;Benzin & LPG;Manuel;207000;80;1229;Önden;Gri;Hayýr;Sahibinden
35999;Opel;Corsa;1.3 CDTI Essentia;2011;Dizel;Manuel;150000;75;1248;Önden;Siyah;Hayýr;Galeriden
28000;Opel;Corsa;1.2 Enjoy;2005;Benzin & LPG;Manuel;210000;80;1229;Önden;Gümüþ Gri;Hayýr;Galeriden
51500;Opel;Corsa;1.4 Twinport Essentia;2015;Benzin;Otomatik;81000;100;1364;Önden;Beyaz;Evet;Galeriden
25000;Opel;Corsa;1.3 CDTI Essentia;2005;Dizel;Yarý Otomatik;220000;70;1248;Önden;Beyaz;Hayýr;Galeriden
19500;Opel;Corsa;1.4 GLS;1997;Benzin;Manuel;137000;76;1401;Önden;Yeþil;Hayýr;Sahibinden
53000;Opel;Corsa;1.2 Twinport Active;2014;Benzin;Yarý Otomatik;81000;85;1229;Önden;Lacivert;Hayýr;Galeriden
28000;Opel;Corsa;1.3 CDTI Silverline;2006;Dizel;Yarý Otomatik;167000;70;1248;Önden;Füme;Hayýr;Sahibinden
32750;Opel;Corsa;1.2 Essentia;2006;Benzin;Manuel;134500;80;1229;Önden;Gümüþ Gri;Evet;Galeriden
16150;Opel;Corsa;1.5 TD ECO;2000;Dizel;Manuel;270000;67;1488;Önden;Gümüþ Gri;Hayýr;Galeriden
61250;Opel;Corsa;1.4 Design;2017;Benzin;Otomatik;6200;90;1398;Önden;Siyah;Evet;Galeriden
26000;Opel;Corsa;1.2 Enjoy;2005;Benzin;Manuel;140000;80;1229;Önden;Bordo;Hayýr;Galeriden
25000;Opel;Corsa;1.2 Essentia;2004;Benzin;Manuel;181000;80;1229;Önden;Gümüþ Gri;Hayýr;Sahibinden
31800;Opel;Corsa;1.3 CDTI Essentia;2009;Dizel;Manuel;161000;51;1201;Önden;Beyaz;Hayýr;Sahibinden
32000;Opel;Corsa;1.2 Enjoy;2007;Benzin;Manuel;109000;80;1229;Önden;Yeþil;Hayýr;Sahibinden
41250;Opel;Corsa;1.3 CDTI Enjoy;2011;Dizel;Manuel;129000;75;1248;Önden;Gümüþ Gri;Evet;Sahibinden
25750;Opel;Corsa;1.4 GLS;2000;Benzin & LPG;Otomatik;164000;90;1389;Önden;Mavi;Hayýr;Galeriden
30500;Opel;Corsa;1.2 Twinport Essentia;2005;Benzin;Yarý Otomatik;169000;76;1200;Önden;Füme;Hayýr;Sahibinden
48500;Opel;Corsa;1.4 Twinport Enjoy;2012;Benzin;Otomatik;60500;100;1364;Önden;Kahverengi;Hayýr;Galeriden
39750;Opel;Corsa;1.3 CDTI Essentia;2013;Dizel;Manuel;135000;51;1201;Önden;Beyaz;Hayýr;Sahibinden
53500;Opel;Corsa;1.4 Twinport Essentia;2013;Benzin;Otomatik;61000;100;1364;Önden;Kahverengi;Hayýr;Galeriden
18750;Opel;Corsa;1.7 DTI Comfort;2003;Dizel;Manuel;310000;201;1601;Önden;Beyaz;Evet;Galeriden
41750;Opel;Corsa;1.4 Twinport Enjoy;2009;Benzin;Otomatik;83000;90;1364;Önden;Gri;Hayýr;Sahibinden
25000;Opel;Corsa;1.2 Club;2003;Benzin;Manuel;175000;75;1199;Önden;Beyaz;Hayýr;Sahibinden
46500;Opel;Corsa;1.2 Twinport Essentia;2011;Benzin;Manuel;21000;126;1200;Önden;Gümüþ Gri;Hayýr;Sahibinden
27750;Opel;Corsa;1.2 Comfort;2002;Benzin & LPG;Yarý Otomatik;149873;75;1199;Önden;Beyaz;Hayýr;Sahibinden
20000;Opel;Corsa;1.3 CDTI Cosmo;2004;Dizel;Manuel;180000;70;1248;Önden;Beyaz;Hayýr;Sahibinden
36900;Opel;Corsa;1.3 CDTI Essentia;2012;Dizel;Manuel;149000;75;1248;Önden;Beyaz;Evet;Sahibinden
25500;Opel;Corsa;1.0 Essentia;2004;Benzin;Manuel;170000;60;998;Önden;Beyaz;Hayýr;Sahibinden
47750;Opel;Corsa;1.4 Twinport Essentia;2013;Benzin;Otomatik;75000;100;1364;Önden;Siyah;Hayýr;Galeriden
49750;Opel;Corsa;1.4 Twinport Enjoy;2012;Benzin & LPG;Otomatik;81120;100;1364;Önden;Siyah;Hayýr;Sahibinden
61250;Opel;Corsa;1.4 Enjoy;2016;Benzin;Yarý Otomatik;4000;90;1398;Önden;Kýrmýzý;Evet;Galeriden
22750;Opel;Corsa;1.4 Swing;1998;Benzin & LPG;Manuel;137000;90;1389;Önden;Mavi;Hayýr;Galeriden
38750;Opel;Corsa;1.3 CDTI Essentia;2014;Dizel;Manuel;90000;75;1248;Önden;Beyaz;Hayýr;Galeriden
31750;Opel;Corsa;1.3 CDTI Enjoy;2004;Dizel;Manuel;102000;70;1248;Önden;Beyaz;Hayýr;Galeriden
14000;Opel;Corsa;1.4 Swing;1997;Benzin & LPG;Manuel;192000;60;1389;Önden;Mavi;Hayýr;Sahibinden
26071;Opel;Corsa;1.7 DTI Comfort;2003;Dizel;Manuel;205000;51;1601;Önden;Gümüþ Gri;Hayýr;Sahibinden
43900;Opel;Corsa;1.2 Essentia;2015;Benzin;Manuel;108000;70;1229;Önden;Beyaz;Hayýr;Galeriden
29750;Opel;Corsa;1.3 CDTI Enjoy;2004;Dizel;Yarý Otomatik;200000;70;1248;Önden;Gri;Evet;Galeriden
38750;Opel;Corsa;1.2 Essentia;2009;Benzin & LPG;Manuel;64300;80;1229;Önden;Gümüþ Gri;Hayýr;Sahibinden
32750;Opel;Corsa;1.4 Enjoy;2004;Benzin;Yarý Otomatik;92000;90;1364;Önden;Kýrmýzý;Hayýr;Sahibinden
26000;Opel;Corsa;1.0 ECO Club;2003;Benzin;Yarý Otomatik;183500;58;973;Önden;Gümüþ Gri;Hayýr;Sahibinden
22500;Opel;Corsa;1.4 Swing;1998;Benzin & LPG;Manuel;84000;90;1389;Önden;Sarý;Hayýr;Sahibinden
26000;Opel;Corsa;1.3 CDTI Essentia;2005;Dizel;Manuel;134000;70;1248;Önden;Gümüþ Gri;Hayýr;Sahibinden
25500;Opel;Corsa;1.3 CDTI Enjoy;2004;Dizel;Manuel;219000;70;1248;Önden;Siyah;Hayýr;Sahibinden
19500;Opel;Corsa;1.2 Club;2002;Benzin;Manuel;92250;75;1199;Önden;Kýrmýzý;Hayýr;Sahibinden
44250;Opel;Corsa;1.2 Twinport Essentia;2013;Benzin;Yarý Otomatik;84500;85;1229;Önden;Kýrmýzý;Hayýr;Sahibinden
21500;Opel;Corsa;1.4 Swing;1997;Benzin & LPG;Otomatik;214000;60;1389;Önden;Kýrmýzý;Hayýr;Sahibinden
26500;Opel;Corsa;1.3 CDTI Essentia;2006;Dizel;Manuel;184000;70;1248;Önden;Mavi;Hayýr;Sahibinden
46000;Opel;Corsa;1.2 Twinport Essentia;2014;Benzin;Yarý Otomatik;42638;85;1229;Önden;Beyaz;Hayýr;Sahibinden
38500;Opel;Corsa;1.2 Twinport Essentia;2007;Benzin;Yarý Otomatik;112000;80;1229;Önden;Mavi;Hayýr;Sahibinden
61500;Opel;Corsa;1.4 Enjoy;2016;Benzin;Otomatik;9500;76;1201;Önden;Beyaz;Evet;Sahibinden
27750;Opel;Corsa;1.3 CDTI Enjoy;2005;Dizel;Manuel;194000;70;1248;Önden;Füme;Hayýr;Galeriden
12000;Opel;Corsa;1.4 Swing;1992;Benzin & LPG;Manuel;99000;51;1401;Önden;Yeþil;Hayýr;Sahibinden
26750;Opel;Corsa;1.3 CDTI Essentia;2007;Dizel;Manuel;198000;75;1248;Önden;Beyaz;Evet;Galeriden
22000;Opel;Corsa;1.4 CD;1998;Benzin & LPG;Otomatik;112500;90;1389;Önden;Lacivert;Hayýr;Sahibinden
30750;Opel;Corsa;1.2 Enjoy;2007;Benzin;Yarý Otomatik;172000;80;1229;Önden;Siyah;Hayýr;Galeriden
39950;Opel;Corsa;1.2 Twinport Enjoy 111;2010;Benzin;Manuel;37000;76;1200;Önden;Gri;Hayýr;Galeriden
32750;Opel;Corsa;1.2 Twinport Enjoy;2005;Benzin;Otomatik;119000;76;1200;Önden;Gümüþ Gri;Hayýr;Sahibinden
28000;Opel;Corsa;1.3 CDTI Essentia;2005;Dizel;Manuel;203000;70;1248;Önden;Siyah;Hayýr;Sahibinden
17000;Opel;Corsa;1.2 Swing;1999;Benzin & LPG;Manuel;197000;65;1199;Önden;Kýrmýzý;Evet;Sahibinden
38900;Opel;Corsa;1.2 Enjoy;2009;Benzin;Yarý Otomatik;75000;76;1200;Önden;Mavi;Hayýr;Sahibinden
25000;Opel;Corsa;1.4 Comfort;2003;Benzin & LPG;Manuel;186000;90;1389;Önden;Gümüþ Gri;Hayýr;Sahibinden
37950;Opel;Corsa;1.3 CDTI Enjoy 111;2011;Dizel;Manuel;143000;90;1248;Önden;Beyaz;Evet;Galeriden
42000;Opel;Corsa;1.2 Twinport Essentia;2013;Benzin;Manuel;44000;85;1229;Önden;Gri;Hayýr;Sahibinden
44750;Opel;Corsa;1.3 CDTI Essentia;2013;Dizel;Manuel;73400;75;1248;Önden;Beyaz;Hayýr;Sahibinden
25500;Opel;Corsa;1.3 CDTI Essentia;2006;Dizel;Manuel;180000;51;1201;Önden;Beyaz;Hayýr;Galeriden
43500;Opel;Corsa;1.3 CDTI Essentia;2013;Dizel;Manuel;208000;75;1248;Önden;Beyaz;Hayýr;Galeriden
18500;Opel;Corsa;1.4 GLS;2000;Benzin & LPG;Manuel;192500;76;1201;Önden;Beyaz;Evet;Galeriden
29500;Opel;Corsa;1.2 Essentia;2007;Benzin & LPG;Manuel;147000;51;1201;Önden;Mavi;Evet;Sahibinden
43250;Opel;Corsa;1.4 Enjoy;2009;Benzin;Otomatik;59000;90;1364;Önden;Gri;Hayýr;Sahibinden
41000;Opel;Corsa;1.4 Twinport Enjoy 111;2011;Benzin;Manuel;101026;100;1364;Önden;Füme;Hayýr;Sahibinden
35500;Opel;Corsa;1.3 CDTI Enjoy;2004;Dizel;Manuel;126000;70;1248;Önden;Beyaz;Hayýr;Sahibinden
37250;Opel;Corsa;1.3 CDTI Essentia;2011;Dizel;Manuel;128200;75;1248;Önden;Beyaz;Hayýr;Sahibinden
17750;Opel;Corsa;1.3 CDTI Cosmo;2006;Dizel;Manuel;250000;70;1248;Önden;Beyaz;Hayýr;Sahibinden
45000;Opel;Corsa;1.3 CDTI Essentia;2013;Dizel;Manuel;138000;76;1201;Önden;Beyaz;Hayýr;Sahibinden
33500;Opel;Corsa;1.3 CDTI Enjoy;2007;Dizel;Manuel;171000;76;1201;Önden;Bej;Hayýr;Sahibinden
30750;Opel;Corsa;1.3 CDTI Essentia;2006;Dizel;Manuel;158000;75;1248;Önden;Beyaz;Hayýr;Sahibinden
39900;Opel;Corsa;1.3 CDTI Essentia;2013;Dizel;Manuel;192000;75;1248;Önden;Beyaz;Evet;Galeriden
34000;Opel;Corsa;1.3 CDTI Essentia;2007;Dizel;Manuel;147000;75;1248;Önden;Siyah;Hayýr;Sahibinden
30750;Opel;Corsa;1.4 Sport;2007;Benzin & LPG;Manuel;178000;90;1364;Önden;Kýrmýzý;Hayýr;Galeriden
